model,scenario,image_path,compute_time_sec
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Syzygium oleana\IMG_20241123_084844.jpg,0.013943910598754883
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ixora javanica\IMG_20241115_094254.jpg,0.013172149658203125
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alstonia iwahigensis Elmer\IMG_20241125_113238.jpg,0.014086723327636719
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Agathis borneensis Warburg\IMG_20241019_133745.jpg,0.015430927276611328
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Shorea laevis Ridl\IMG_20241125_111038.jpg,0.017856836318969727
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Borassodendron borneensis J. Dransf\IMG_20241125_112000_1.jpg,0.017089128494262695
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Allamanda cathartica L\IMG_20241123_095722.jpg,0.016363143920898438
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Vatica oblongifolia Hook.f\IMG_20241125_111653.jpg,0.020601749420166016
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Agathis borneensis Warburg\IMG_20241106_101348.jpg,0.024393558502197266
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Aloe vera (L.) Burm.f\IMG_20241113_105540.jpg,0.030801773071289062
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Mussaenda philippica\IMG_20241109_141038.jpg,0.0229489803314209
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Excoecaria cochinchinensis Lour\IMG_20241125_104247.jpg,0.02625441551208496
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alstonia iwahigensis Elmer\IMG_20241106_101145.jpg,0.023984909057617188
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Pandanus amaryllifolius Roxb\IMG_20241019_140841.jpg,0.019787073135375977
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Shorea laevis Ridl\IMG_20241125_111052.jpg,0.020291566848754883
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alstonia angustiloba Miq\IMG_20241123_094122.jpg,0.02420186996459961
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Mangifera indica L\IMG_20241115_103425.jpg,0.022769927978515625
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Hopea pedicellata (Brandis) Symington\IMG_20241125_085946.jpg,0.021183490753173828
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Shorea laevis Ridl\IMG_20241125_111018.jpg,0.018598318099975586
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Koompassia excelsa (Becc.) Taub\IMG_20241123_093842.jpg,0.019818544387817383
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Hura crepitans L\IMG_20241123_084516.jpg,0.01888108253479004
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Saraca declinata Miq\IMG_20241106_094238.jpg,0.024747371673583984
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Kalanchoe pinnata\IMG_20241019_123209.jpg,0.02095651626586914
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Furcraea foetida (L.) Haw\IMG_20241113_100114.jpg,0.02361130714416504
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Dracaena trifasciata (Prain) Mabb\IMG_20241125_094957.jpg,0.02077317237854004
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ruellia simplex C.Wright\IMG_20241113_105110.jpg,0.0218048095703125
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Acalypha siamensis Oliv. ex Gage\IMG_20241109_133347.jpg,0.02830028533935547
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Codiaeum variegatum (L.) Rumph. ex A.Juss\IMG_20241109_134850.jpg,0.021152973175048828
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Diospyros borneensis Hiern\IMG_20241123_102832.jpg,0.01645660400390625
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Hura crepitans L\IMG_20241123_084511.jpg,0.020850419998168945
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Excoecaria cochinchinensis Lour\IMG_20241125_104219.jpg,0.020782947540283203
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Alocasia macrorrhizos\IMG_20241106_104837.jpg,0.016922473907470703
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Grammatophyllum speciosum\IMG_20241125_103519.jpg,0.021245241165161133
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Kalanchoe pinnata\IMG_20241019_123138.jpg,0.023617982864379883
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Duranta erecta L\IMG_20241106_100853.jpg,0.02001190185546875
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Shorea laevis Ridl\IMG_20241115_091943.jpg,0.012600898742675781
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Acalypha siamensis Oliv. ex Gage\IMG_20241109_133518.jpg,0.01990365982055664
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Cocos nucifera L\IMG_20241109_135438.jpg,0.014468193054199219
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Pandanus amaryllifolius Roxb\IMG_20241109_135340.jpg,0.014308691024780273
ResNet50,no_hidden,C:/Users/ASUS/Downloads/Dataset Manual/val\Ctenanthe burle-marxii H.Kenn\IMG_20241109_144344.jpg,0.01590704917907715
